종목코드,종목명,시장,현재가,예측_5일후_등락률(%)
394800,쓰리빌리언,KOSDAQ,18230,1.71
025770,한국정보통신,KOSDAQ,7660,1.7
139050,BF랩스,KOSDAQ,2805,1.68
121890,에스디시스템,KOSDAQ,1740,1.68
002787,진흥기업2우B,KOSPI,8390,1.67
204210,스타에스엠리츠,KOSPI,2035,1.67
181710,NHN,KOSPI,29050,1.66
069960,현대백화점,KOSPI,88600,1.64
082920,비츠로셀,KOSDAQ,17620,1.64
363250,진시스템,KOSDAQ,4100,1.63
007570,일양약품,KOSPI,14600,1.63
025440,DH오토웨어,KOSDAQ,778,1.58
477760,DB금융스팩12호,KOSDAQ,2125,1.57
006650,대한유화,KOSPI,144800,1.56
208350,지란지교시큐리티,KOSDAQ,2950,1.55
011810,STX,KOSPI,3530,1.52
477380,미래에셋비전스팩4호,KOSDAQ,2065,1.51
258610,케일럼,KOSDAQ,1376,1.49
000670,영풍,KOSPI,47500,1.46
037760,쎄니트,KOSDAQ,1789,1.45
199430,케이엔알시스템,KOSDAQ,27100,1.44
498390,한화플러스제5호스팩,KOSDAQ,2010,1.43
002210,동성제약,KOSPI,973,1.43
290720,푸드나무,KOSDAQ,1994,1.42
032640,LG유플러스,KOSPI,14720,1.41
438700,버넥트,KOSDAQ,3235,1.41
036800,나이스정보통신,KOSDAQ,25350,1.41
009415,태영건설우,KOSPI,13500,1.41
408920,메쎄이상,KOSDAQ,3210,1.41
039980,폴라리스AI,KOSDAQ,1788,1.37
327260,RF머트리얼즈,KOSDAQ,22850,1.37
355390,크라우드웍스,KOSDAQ,3375,1.37
101970,우양에이치씨,KOSDAQ,11570,1.37
158430,아톤,KOSDAQ,6170,1.36
036120,서울평가정보,KOSDAQ,2065,1.36
432320,KB스타리츠,KOSPI,3270,1.36
111110,호전실업,KOSPI,7720,1.35
000850,화천기공,KOSPI,36350,1.32
170920,엘티씨,KOSDAQ,19190,1.31
362320,청담글로벌,KOSDAQ,6060,1.3
007980,TP,KOSPI,1886,1.29
078350,한양디지텍,KOSDAQ,21550,1.28
064850,에프앤가이드,KOSDAQ,8660,1.26
009730,이렘,KOSDAQ,670,1.25
014915,성문전자우,KOSPI,6350,1.25
380540,옵티코어,KOSDAQ,2050,1.25
462510,라메디텍,KOSDAQ,6590,1.23
008355,남선알미우,KOSPI,18000,1.22
014680,한솔케미칼,KOSPI,227500,1.21
314140,알피바이오,KOSDAQ,7400,1.2
093380,풍강,KOSDAQ,2715,1.18
303030,지니틱스,KOSDAQ,706,1.17
033560,블루콤,KOSDAQ,3100,1.14
005670,푸드웰,KOSDAQ,6190,1.14
025820,이구산업,KOSPI,5570,1.14
140410,메지온,KOSDAQ,90100,1.12
192250,케이사인,KOSDAQ,9890,1.1
030200,KT,KOSPI,52600,1.08
187220,디티앤씨,KOSDAQ,2375,1.06
014620,성광벤드,KOSDAQ,25750,1.06
023350,한국종합기술,KOSPI,4810,1.04
002995,금호건설우,KOSPI,20500,1.04
072470,우리산업홀딩스,KOSDAQ,3205,1.04
109610,에스와이,KOSDAQ,3050,1.02
26490K,크라운제과우,KOSPI,9870,1.01
365270,큐라클,KOSDAQ,7130,0.99
012860,모베이스전자,KOSDAQ,1395,0.98
098660,에스티오,KOSDAQ,1779,0.96
047810,한국항공우주,KOSPI,114400,0.96
094480,갤럭시아머니트리,KOSDAQ,9130,0.95
016670,디모아,KOSDAQ,4425,0.94
042520,한스바이오메드,KOSDAQ,27600,0.93
117670,알파칩스,KOSDAQ,8600,0.92
348950,제이알글로벌리츠,KOSPI,2800,0.92
417860,오브젠,KOSDAQ,12100,0.9
064760,티씨케이,KOSDAQ,142200,0.88
312610,에이에프더블류,KOSDAQ,1373,0.88
082270,젬백스,KOSDAQ,29000,0.85
023450,동남합성,KOSPI,33750,0.85
007575,일양약품우,KOSPI,15260,0.84
400760,NH올원리츠,KOSPI,3365,0.81
