종목코드,종목명,시장,현재가,RSI,MACD히스토,볼린저위치,거래량배율,종합점수,신호
397030,에이프릴바이오,KOSDAQ,54900,72.4,752.81,1.011,0.58,-2,-1
398120,에스지헬스케어,KOSDAQ,2995,46.7,-17.35,0.251,0.16,0,0
399720,가온칩스,KOSDAQ,51700,55.8,577.67,0.688,1.42,0,0
400760,NH올원리츠,KOSPI,3365,30.3,-25.31,-0.092,1.27,1,0
402030,코난테크놀로지,KOSDAQ,19710,33.8,-3.25,0.144,0.89,-1,0
402340,SK스퀘어,KOSPI,368000,72.9,5251.36,1.153,1.46,-2,-1
402490,그린리소스,KOSDAQ,8270,59.3,80.56,0.957,0.69,-1,0
403490,우듬지팜,KOSDAQ,1542,43.2,-0.14,0.202,0.61,-1,0
403550,쏘카,KOSPI,11470,41.2,-29.19,-0.094,1.67,1,0
403870,HPSP,KOSDAQ,33500,66.0,555.77,1.105,1.9,-1,0
404990,신한서부티엔디리츠,KOSPI,3595,50.4,-7.19,0.42,0.62,0,0
405000,플라즈맵,KOSDAQ,5800,21.5,-26.31,-0.3,1.61,1,0
405100,큐알티,KOSDAQ,15900,60.3,150.41,0.927,1.15,0,0
405920,나라셀라,KOSDAQ,2400,57.0,11.74,0.821,0.61,0,0
406820,뷰티스킨,KOSDAQ,4527,70.8,157.45,0.851,1.34,-1,0
407400,꿈비,KOSDAQ,5090,59.2,59.97,0.963,2.51,-1,0
408900,스튜디오미르,KOSDAQ,3020,43.0,17.05,0.387,0.23,0,0
408920,메쎄이상,KOSDAQ,3210,49.2,-17.45,0.399,0.3,0,0
411080,샌즈랩,KOSDAQ,6900,34.9,-18.97,0.248,0.51,0,0
412350,레이저쎌,KOSDAQ,1925,40.4,-7.23,0.314,0.51,0,0
412540,제일엠앤에스,KOSDAQ,3935,22.7,0.0,,,1,0
413390,엠오티,KOSDAQ,7110,52.9,33.09,0.665,1.66,0,0
413630,씨피시스템,KOSDAQ,4545,54.2,-10.74,0.545,0.37,0,0
413640,비아이매트릭스,KOSDAQ,9520,37.0,28.48,0.199,0.7,0,0
415380,스튜디오삼익,KOSDAQ,2290,39.3,-2.57,0.017,0.95,0,0
415640,KB발해인프라,KOSPI,10020,54.5,11.83,0.705,0.4,0,0
416180,신성에스티,KOSDAQ,32500,33.0,-252.67,0.105,0.47,0,0
417010,나노팀,KOSDAQ,7150,62.1,108.71,0.736,0.46,0,0
417180,핑거스토리,KOSDAQ,1752,42.5,5.18,0.349,0.72,0,0
417200,LS머트리얼즈,KOSDAQ,12180,46.2,-47.01,0.272,0.85,-1,0
417310,코람코더원리츠,KOSPI,8690,74.2,16.8,0.836,0.38,-1,0
417500,제이아이테크,KOSDAQ,3150,45.7,-9.03,0.073,11.76,0,0
417790,트루엔,KOSDAQ,8220,46.7,-13.81,0.355,0.54,-1,0
417840,저스템,KOSDAQ,5810,83.2,202.8,0.967,2.41,-2,-1
417860,오브젠,KOSDAQ,12100,45.0,2.13,0.354,0.34,1,0
417970,모델솔루션,KOSDAQ,26200,56.8,-38.99,0.653,0.44,-1,0
418250,시큐레터,KOSDAQ,6550,25.8,0.0,,,1,0
418420,라온텍,KOSDAQ,4410,52.2,3.78,0.454,0.44,1,0
418470,KT밀리의서재,KOSDAQ,13740,48.5,-16.38,0.243,0.28,0,0
418550,제이오,KOSDAQ,7010,38.2,-40.51,0.175,0.54,0,0
418620,E8,KOSDAQ,1514,29.5,3.3,0.253,0.54,1,0
419050,삼기에너지솔루션즈,KOSDAQ,1680,27.8,-10.74,0.046,1.3,2,1
419080,엔젯,KOSDAQ,8160,64.9,136.76,0.789,0.18,0,0
419120,산돌,KOSDAQ,4115,37.5,-1.52,0.01,0.36,0,0
419530,SAMG엔터,KOSDAQ,41350,48.8,438.64,0.673,1.22,0,0
419540,비스토스,KOSDAQ,1070,27.9,5.61,0.152,0.33,1,0
420570,제이투케이바이오,KOSDAQ,8600,50.5,20.6,0.54,0.2,0,0
420770,기가비스,KOSDAQ,31500,45.9,-14.97,0.396,0.73,0,0
424760,벨로크,KOSDAQ,1038,40.6,-9.66,0.106,0.55,0,0
424870,이뮨온시아,KOSDAQ,12526,56.2,-197.11,0.512,0.42,0,0
424960,스마트레이더시스템,KOSDAQ,8410,52.7,7.39,0.53,0.99,0,0
424980,마이크로투나노,KOSDAQ,8210,48.3,70.32,0.558,0.97,0,0
425040,티이엠씨,KOSDAQ,7650,48.1,61.78,0.572,0.54,0,0
425420,티에프이,KOSDAQ,36400,43.8,-112.53,0.343,1.0,0,0
429270,시지트로닉스,KOSDAQ,4640,48.4,-3.38,0.458,0.56,0,0
430690,한싹,KOSDAQ,4795,37.2,-10.78,0.096,0.68,0,0
431190,케이쓰리아이,KOSDAQ,5030,46.1,-21.41,0.33,0.1,1,0
432320,KB스타리츠,KOSPI,3270,31.4,-11.03,0.265,0.86,0,0
432430,와이랩,KOSDAQ,4115,40.7,-3.52,0.241,1.03,0,0
432470,케이엔에스,KOSDAQ,9460,32.6,-28.17,0.131,0.71,0,0
432720,퀄리타스반도체,KOSDAQ,15040,60.5,221.25,1.079,7.7,-1,0
432980,엠에프씨,KOSDAQ,3490,46.0,3.35,0.327,1.38,0,0
434480,모니터랩,KOSDAQ,3945,40.9,-4.94,0.113,0.79,0,0
435570,에르코스,KOSDAQ,14810,68.8,379.16,0.941,2.52,0,0
437730,삼현,KOSDAQ,55200,61.0,142.74,0.714,0.56,0,0
438700,버넥트,KOSDAQ,3235,47.7,7.8,0.464,1.43,0,0
